Date,signal,short_mavg,long_mavg,positions
2021-01-04 00:00:00-05:00,0.0,243.2566680908203,243.2566680908203,
2021-01-05 00:00:00-05:00,0.0,244.14666748046875,244.14666748046875,0.0
2021-01-06 00:00:00-05:00,0.0,246.76222229003906,246.76222229003906,0.0
2021-01-07 00:00:00-05:00,1.0,256.3477783203125,253.07500076293945,1.0
2021-01-08 00:00:00-05:00,1.0,272.4488881429036,261.1279998779297,0.0
2021-01-11 00:00:00-05:00,1.0,278.5833333333333,262.6727778116862,0.0
2021-01-12 00:00:00-05:00,1.0,282.29444376627606,265.59761919294084,0.0
2021-01-13 00:00:00-05:00,1.0,279.4488932291667,267.99833488464355,0.0
2021-01-14 00:00:00-05:00,1.0,283.20555623372394,269.5170372856988,0.0
2021-01-15 00:00:00-05:00,1.0,280.61888631184894,270.10399932861327,0.0
2021-01-19 00:00:00-05:00,1.0,279.52332560221356,271.14151417125356,0.0
2021-01-20 00:00:00-05:00,1.0,280.12888590494794,272.16999944051105,0.0
2021-01-21 00:00:00-05:00,1.0,282.2211100260417,272.9002556434044,0.0
2021-01-22 00:00:00-05:00,1.0,282.4533284505208,273.5654743739537,0.0
2021-01-25 00:00:00-05:00,1.0,285.82555135091144,274.90110982259114,0.0
2021-01-26 00:00:00-05:00,1.0,290.0588887532552,276.11749935150146,0.0
2021-01-27 00:00:00-05:00,1.0,292.0055643717448,276.81960790297563,0.0
2021-01-28 00:00:00-05:00,1.0,286.9644470214844,276.9116660224067,0.0
2021-01-29 00:00:00-05:00,1.0,277.0133361816406,276.25894727204974,0.0
2021-02-01 00:00:00-05:00,0.0,274.3077799479167,276.4428337097168,-1.0
2021-02-02 00:00:00-05:00,1.0,278.4588928222656,277.1326984223865,1.0
2021-02-03 00:00:00-05:00,1.0,285.2544453938802,277.48560610684484,0.0
2021-02-04 00:00:00-05:00,1.0,286.3855489095052,277.7397096053414,0.0
2021-02-05 00:00:00-05:00,1.0,284.1011047363281,278.0037492116292,0.0
2021-02-08 00:00:00-05:00,1.0,285.07110595703125,278.3958660888672,0.0
2021-02-09 00:00:00-05:00,1.0,285.01221720377606,279.9917321777344,0.0
2021-02-10 00:00:00-05:00,0.0,279.74444580078125,280.9211993408203,-1.0
2021-02-11 00:00:00-05:00,0.0,273.9933369954427,281.6635998535156,0.0
2021-02-12 00:00:00-05:00,0.0,270.2888997395833,281.6646667480469,0.0
2021-02-16 00:00:00-05:00,0.0,269.3333435058594,280.547333984375,0.0
2021-02-17 00:00:00-05:00,0.0,267.8322245279948,280.373466796875,0.0
2021-02-18 00:00:00-05:00,0.0,264.6388854980469,279.5459997558594,0.0
2021-02-19 00:00:00-05:00,0.0,262.98109944661456,278.5711987304687,0.0
2021-02-22 00:00:00-05:00,0.0,253.68666076660156,276.8311993408203,0.0
2021-02-23 00:00:00-05:00,0.0,243.84888712565103,275.13359985351565,0.0
2021-02-24 00:00:00-05:00,0.0,239.48444620768228,273.766533203125,0.0
2021-02-25 00:00:00-05:00,0.0,235.89777628580728,271.5234661865234,0.0
2021-02-26 00:00:00-05:00,0.0,233.304443359375,269.26359985351564,0.0
2021-03-01 00:00:00-05:00,0.0,230.68333435058594,267.5541339111328,0.0
2021-03-02 00:00:00-05:00,0.0,231.15222676595053,264.9626672363281,0.0
2021-03-03 00:00:00-05:00,0.0,228.67444864908853,261.8974670410156,0.0
2021-03-04 00:00:00-05:00,0.0,217.8977813720703,258.66119995117185,0.0
2021-03-05 00:00:00-05:00,0.0,208.06555684407553,255.49480041503907,0.0
2021-03-08 00:00:00-05:00,0.0,198.0433349609375,252.42106689453124,0.0
2021-03-09 00:00:00-05:00,0.0,203.836669921875,250.20466674804686,0.0
2021-03-10 00:00:00-05:00,0.0,211.62666829427084,247.4749334716797,0.0
2021-03-11 00:00:00-05:00,0.0,226.804443359375,245.40706665039062,0.0
2021-03-12 00:00:00-05:00,0.0,229.04332987467447,243.3236004638672,0.0
2021-03-15 00:00:00-04:00,0.0,233.4744415283203,241.39973388671876,0.0
2021-03-16 00:00:00-04:00,0.0,230.9499969482422,238.91253356933595,0.0
2021-03-17 00:00:00-04:00,0.0,231.84777323404947,236.9438671875,0.0
2021-03-18 00:00:00-04:00,0.0,225.7611083984375,234.9217333984375,0.0
2021-03-19 00:00:00-04:00,0.0,223.3155517578125,232.83119934082032,0.0
2021-03-22 00:00:00-04:00,0.0,219.7811075846354,230.88293212890625,0.0
2021-03-23 00:00:00-04:00,0.0,220.7811075846354,229.09546508789063,0.0
2021-03-24 00:00:00-04:00,0.0,218.0477752685547,226.8570654296875,0.0
2021-03-25 00:00:00-04:00,0.0,214.75777689615884,224.89719909667969,0.0
2021-03-26 00:00:00-04:00,0.0,209.92999776204428,222.7293328857422,0.0
2021-03-29 00:00:00-04:00,0.0,207.82111104329428,221.35319946289061,0.0
2021-03-30 00:00:00-04:00,0.0,207.2911122639974,220.51026611328126,0.0
2021-03-31 00:00:00-04:00,0.0,212.75999959309897,219.5223992919922,0.0
2021-04-01 00:00:00-04:00,0.0,218.36666361490884,219.2494659423828,0.0
2021-04-05 00:00:00-04:00,1.0,224.52555338541666,219.45679931640626,1.0
2021-04-06 00:00:00-04:00,1.0,227.15777587890625,219.09933227539062,0.0
2021-04-07 00:00:00-04:00,1.0,228.18222045898438,218.89306518554687,0.0
2021-04-08 00:00:00-04:00,1.0,227.3766632080078,219.30106506347656,0.0
2021-04-09 00:00:00-04:00,1.0,225.75444539388022,220.04213195800781,0.0
